L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.13,0.13,0.22,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.09602051106076512,-0.7492773847056866,0.06548357496648051,0.06881848594571889,0.2556152888956873,0.2630262098815292,0.23677112430695063,0.11888345718703845,0.04216480926932996,0.05915626150869343,-0.1110893743365945,-0.2773254446802791,-0.15776241302631822,-0.19301452154443247,0.1801792399747864,-0.19740746197678694
True,0.02,0.02,0.93,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0021538907151707207,-0.002122388295231842,-0.032254450808015526,-0.042578510415425465,0.036215800986700984,-0.33215819833134763,-0.05962125142255863,0.22066440226277317,-0.042651427343003194,0.30956550025634044,0.11797495617843162,-0.2290796067217387,0.09995739713339043,0.35157623071552363,-0.0669464833594147,0.00620956624249036
True,0.22,0.22,0.47,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.025937918589686068,-0.14482570542164636,0.02075057747254215,-0.3319473106417094,0.20152072919645592,0.24452345484919769,-0.038790228556771736,0.30806493834109544,0.3490227702696107,0.19916460133760674,0.4215690573136406,-0.11022442163259955,0.0814707150802711,0.0011750767704790943,0.02134292175798412,0.01797495370631813
True,0.07,0.07,0.73,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.01144909585773239,-0.025249803144745165,-0.038667779497842586,-0.020389097211135992,0.09947496820537022,-0.36484718238755054,0.041888901951418964,0.0283424136154867,-0.30229918760280045,0.18785592445260427,-0.5368828112319317,0.0825393094348523,0.13554911591373248,-0.1356150504700199,-0.2745696399395713,-0.15803708451881598
True,0.29,-0.29,0.54,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.015842218431080687,-0.027995540163264276,0.0743065142881863,-0.17839583473104237,-0.2522795890609658,-0.3292066134280691,0.20470798354039343,0.28226400940992996,-0.34060782750887847,0.4005114736141879,0.4582152013368892,-0.04958932830979387,0.21930702958808634,0.12110623119842176,-0.16664797161167766,0.14952230117157062
True,0.29,0.29,0.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,-0.02780684396526788,-0.01933044607714634,-0.11105243625988259,-0.14439258467441551,-0.03390007159293135,0.13597401148051874,0.41371755364491275,0.3628486189288213,-0.33444909969740166,0.09419998847756339,0.4957285838406357,0.3622989682803592,0.1510139309156445,-0.16970205659547405,0.0281258115452339,0.18740023953905796
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.01834871273458073,-0.06074580069620672,0.13679042960519727,-0.07422473589094755,-0.2812290972033534,-0.43852156707491263,0.210755848387776,-0.07869528174828633,-0.2137514951051516,0.5520715690495647,0.4971033304465039,0.03907350144740185,0.10222599344848193,-0.37894369641995373,0.03405694626523119,0.0013724314747164401
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.03,-0.03,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.005444418236272481,-0.054764073685199754,-0.0051311934860060505,-0.20671781994658572,0.07042131893730227,0.19058478421748387,0.09872506371813652,-0.2625252348981991,-0.008193896227091074,-0.15902280328284812,-0.4058877270054429,0.3411696532980367,0.2667385476575829,0.15884663165694354,0.3127636784222542,0.18533994797134523
True,0.12,0.12,0.29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.015390127033008377,0.035050536152472174,0.015120984914490224,-0.12219499514675636,0.10606399743648867,-0.065427307018358,0.2372814239055468,0.27390459309488,-0.026831661050160535,-0.052515554347349724,-0.07853970793825069,0.11574387379232817,0.031232225800586717,0.17610645109494705,0.01156630481987452,-0.22933007059070046
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.001955091612477046,0.011154808284617953,-0.03577009790208521,0.06007386335547736,0.05565177024880606,-0.11153228712293536,0.1436615206896228,0.033273840394780194,-0.23343975098892927,-0.1274986815922685,-0.11836420316225557,-0.009743443422098402,-0.05846596506103693,-0.12345508027696644,0.15951749055229267,-0.09150586643895099
True,0.42,0.42,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.36,0.36,0.44,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.00867066583970303,-0.014528609786405864,-0.022822336891785255,-0.056005005338574776,0.04817072509173496,-0.5050934845407398,-0.25576601785243364,0.265367336146076,-0.01088726709143542,0.38915171771314616,-0.22028718041356093,-0.19749753947358822,0.05451934338951471,0.5516420417561364,-0.3199854028465333,0.0705495056628019
True,0.33,0.33,0.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22210784755733204,0.5797067725864954,-0.17585144683872858,0.2889816964478423,-0.01319127111581669,5.954578211867319e-17,2.936156724897329e-17,7.453269580475218e-17,5.2052384722664786e-17,3.5119033286509156e-17,-6.359256968280387e-17,-6.072386551394637e-17,-4.953490346082094e-18,-1.7093849491371076e-17,7.979033764340619e-17,-7.088245159337417e-17
