L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.36,0.36,0.44,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.008670665839703029,-0.014528609786405869,-0.022822336891785193,-0.05600500533857457,0.048170725091735256,0.15169492538613413,0.0371117147923716,-0.10918008822294577,0.025823301697857383,0.3658915608151998,0.24246500570771118,-0.20689406847735042,0.027334979201958345,0.23402539371832107,0.18788638947803898,0.18823047391946174
True,0.33,0.33,0.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22210784755733204,0.5797067725864953,-0.17585144683872905,0.28898169644784205,-0.013191271115818283,4.0416418412964575e-16,-6.546881758337204e-17,9.965591821124768e-17,2.0719682384384814e-16,-5.500218093400915e-17,-1.1085691218669066e-16,1.1009015080036135e-16,-1.4144935419336257e-17,2.6248514602618407e-17,1.114894366793228e-16,1.0624384866679858e-16
True,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01037898399973721,-0.039144159505347303,-0.058699620670978586,-0.19204549248147929,0.27707068421123876,0.01323793512464833,-0.008733541161369249,0.19295030210494368,-0.36658511361998014,0.08730002425626428,-0.18089902157860605,0.027205697266589814,0.33782393306133607,0.26015881895614995,-0.014667001895940758,0.02386302641210479
True,0.03,-0.03,0.55,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08506026501780788,0.2624044901541827,-0.06997339123720159,-0.6270057196741429,0.16086076860657758,-1.3731688973990244e-15,2.3887270174159566e-16,-3.495899854474278e-16,-7.17632079653906e-16,1.6954579889264193e-16,4.0702860855188013e-16,-3.1258139003739673e-16,6.020209817405786e-17,-1.0596977229602149e-16,-3.838464797701182e-16,-3.976061791567857e-16
True,0.04,0.04,0.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.700256978882534,0.08938992967751673,-0.0033008710419834553,-0.01182740520469902,-0.01205264105964518,-0.009962429529685025,-0.004367246463377974,-0.001018122055401963,0.0028181410866968677,-0.026121100548965614,-0.0012377931176859047,-0.004035114278803111,-0.009486709079693196,0.008123956964967831,-0.0024999551812788317,0.0005817153349092207
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.015153003388078855,-0.052389164572948295,-0.0761947566055095,-0.301615839087019,0.4570384066477436,-0.0601011578776901,-0.03348465090815143,0.24731531119618416,-0.5650026770718325,0.019129901905474256,0.06043114218505388,0.1426104168754305,0.16811628430565406,0.06045995845342822,0.02363297080643556,0.0060349016047912055
True,0.17,-0.17,0.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.004093327295645571,-0.01650823842804392,-0.011074687917074987,0.07580210913392792,-0.037757788798427394,0.37365917128197845,0.0872203251222897,0.11412677121351522,-0.306019638940829,0.08241755624344083,0.03442574496610102,-0.03565930062951853,0.29665327265917996,-0.36472729568253964,-0.24325998372735938,0.0012203601825473307
True,0.25,0.25,0.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.0031584401611529094,0.02072771108878762,-0.05162126974420741,0.06273377827264785,0.049001555227724355,0.28973093016348195,0.40417770805055886,-0.28576685984153105,-0.16334968401504218,0.3897049958044445,0.03829368068802744,-0.10567190559103626,-0.335702652380104,0.4365255640378612,-0.2903963229075548,-0.03519770545533349
True,0.09,-0.09,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.09910832552370738,-0.7446544002809375,0.12062524144996856,-0.02442667463423258,0.07882382260336147,0.1898291870342533,0.32819777358706226,-0.1732254774990526,-0.14519878380683754,0.22634164917513913,-0.2467778247385723,0.11596753036455873,-0.4734864664807331,-0.019523155766344627,-0.43699483510757664,0.3014425066184562
True,0.13,0.13,0.32,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0009065411302371476,-0.0028521981293373466,-0.010913205870001287,0.016823809014650856,0.003980173057542586,-0.12674793266218704,-0.019321289860003213,0.04126710695730008,-0.06804180398348261,-0.08672268888522063,0.3076334513787215,0.2589568469970996,0.08435463467796171,-0.1450226143515964,0.015928166063750613,0.07563296954625764
True,0.23,-0.23,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.005191775248919461,-0.006026570086909524,0.04756350711637105,0.18828752131908608,-0.0403036404164166,-0.10269999390486954,-0.17662398121717413,-0.23252126007309204,-0.06742928974585066,0.06358202712343265,-0.23130405687390052,-0.040336290624282484,-0.26018046503777453,-0.34706609032366076,-0.32540830696149653,0.16503996641323795
True,0.12,-0.12,0.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,-0.005449421018832451,-0.08701548211019455,0.15400460262960858,-0.03747702946853827,0.27761873783801966,0.20008630374598685,0.012953515771279095,-0.32602007747648426,-0.05904118381804488,-0.20352024733131002,0.025571589489748203,0.006120923804565272,-0.13116110061569777,0.2052242558318301,-0.3888571891244029,0.06736289245305985
True,0.18,0.18,0.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01686588348128723,0.008683741930462834,0.16414083276028435,0.04224486196849287,0.10897720876463249,0.11705066529813746,0.18512393903541519,-0.10264774243777215,-0.5117816452113487,0.37049873776213654,-0.06024522978894413,0.23417393529617098,0.0398909822532475,0.0745112482766105,0.23627445547062786,-0.03060418643571612
