@relation whatever
@attribute L {True, False}
@attribute absPolarity real
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute dont {True, False}
@attribute im {True, False}
@attribute still {True, False}
@attribute even {True, False}
@attribute day {True, False}
@attribute call {True, False}
@attribute way {True, False}
@attribute say {True, False}
@attribute didnt {True, False}
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute 8 real
@attribute 9 real
@attribute 10 real
@attribute 11 real
@attribute 12 real
@attribute 13 real
@attribute 14 real
@attribute 15 real
@attribute 16 real
@data
True,0.13,0.13,0.22,False,False,False,False,True,False,False,False,False,0.08289647494171357,-0.25472660287014015,0.02594786250082734,0.029577159331659164,0.5170810546042286,-0.20771749601893907,-0.15629665494977696,-0.2962251793497256,0.06322227374679609,-7.241211777570584e-17,-9.928236371782935e-17,1.0446566541982118e-16,-1.8069457555359556e-16,-6.772988391530726e-17,-2.4878472049779313e-16,9.689530606759847e-17
True,0.02,0.02,0.93,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.22,0.22,0.47,False,False,False,False,False,True,False,True,False,0.10727218408040276,-0.18249349240100332,-0.6044741006966832,-0.46605586112680264,-0.2557543841041665,-0.032556166871288233,0.27843043171406107,-0.4773804075145581,0.02657126035963191,-2.7350017117627915e-17,-1.7488508302325636e-16,1.6152177010077137e-17,-9.300600919886111e-18,-5.4843464195944875e-17,-2.2233808131121973e-16,9.541431118962081e-17
True,0.07,0.07,0.73,True,True,False,False,False,False,False,False,False,0.8701594672839622,-0.35234997532849605,0.16694842133158846,0.09430075463740989,-0.15096620104112948,0.15791184288024057,0.09479586374646835,0.154253634570879,0.03741931495118865,5.885732249461521e-17,6.678756581554345e-17,-4.1241378972623306e-17,9.15916275883554e-17,5.402044813919457e-17,1.3630606374283942e-16,-7.639954541652048e-17
True,0.29,-0.29,0.54,False,False,False,False,False,False,True,False,False,0.03100407779899129,-0.03759382237534784,-0.06071594257723752,0.07740424017749004,0.060680957075309946,-0.09215483314554349,0.09889885526762614,0.01612302640141132,-0.6824455892020281,6.14457407686889e-17,-5.170168321883768e-17,-3.533220695859633e-17,2.7758181542917823e-16,6.830525130976866e-17,7.333038311944528e-17,-1.4525392822210197e-16
True,0.29,0.29,0.42,False,False,False,False,False,False,False,False,True,0.04418566402927122,0.104901926252545,-0.2977018475956139,0.3465515102501232,0.1612758222721708,-0.19509965411506985,0.39568251591810955,0.1752777024029635,0.16418946798130246,2.660022831328399e-16,1.119108030678092e-16,-8.153039049988983e-17,1.745214372188558e-16,1.3678019899888144e-16,4.0893257656223075e-16,-1.6683524242655383e-16
True,0.33,0.33,0.5,False,True,False,False,False,False,False,True,False,0.692338327422434,0.19930022013005527,0.042019115785482425,-0.1721226431748229,-0.23130621853852917,-0.0623092446779894,0.3395807900122255,-0.5257162911616939,0.021852043567357697,-1.418541123166327e-17,-1.852575745909826e-16,8.52582323183823e-18,7.267585189877773e-17,-4.4372955754887345e-17,-2.227425724504636e-16,6.419401709514492e-17
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,0.10756261279540413,0.21471624377158954,-0.2891899801730345,0.20140718359152052,0.15198859524192904,0.48099537431676653,-0.21247075571601434,-0.12894136910426637,-0.04364331398670054,-1.2333958457731738e-16,-7.189190364165106e-17,6.106618698678504e-17,-1.8270729467583325e-16,1.5649322841673448e-17,-2.633801821355684e-16,5.771023306276925e-17
True,0.03,-0.03,0.65,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.12,0.12,0.29,True,False,True,True,True,False,False,False,False,0.48911382332255626,-0.5753937242248945,-0.40271824686797664,0.7394807224169281,0.19773436608446104,0.1608387997301186,-0.6994765839745787,-0.40374400791598974,0.05857721642807156,-3.6701554501804875e-16,-2.3180301105501127e-16,1.962385539634363e-16,-5.716111039955671e-16,-1.987411255718083e-16,-6.613159956928804e-16,2.9062626053342107e-16
True,0.33,0.33,0.5,False,True,False,False,False,False,False,False,False,0.6456781640748863,0.1984304072839405,0.13050294787851477,-0.1332596496546632,0.003350883485116358,-0.07329687643689739,0.02631617444947763,0.05302421295204492,0.006939708824857573,2.4386885058745338e-17,2.887644461797999e-17,-1.2357248637740602e-17,4.368168130623093e-17,4.465037001647252e-18,5.778644628868021e-17,-2.168349277774221e-17
True,0.42,0.42,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.36,0.36,0.44,False,True,False,False,False,False,False,False,False,0.6456781640748863,0.1984304072839405,0.13050294787851477,-0.1332596496546632,0.003350883485116358,-0.07329687643689739,0.02631617444947763,0.05302421295204492,0.006939708824857573,2.4386885058745338e-17,2.887644461797999e-17,-1.2357248637740602e-17,4.368168130623093e-17,4.465037001647252e-18,5.778644628868021e-17,-2.168349277774221e-17
True,0.33,0.33,0.5,False,True,False,False,False,False,False,False,False,0.6456781640748863,0.1984304072839405,0.13050294787851477,-0.1332596496546632,0.003350883485116358,-0.07329687643689739,0.02631617444947763,0.05302421295204492,0.006939708824857573,2.4386885058745338e-17,2.887644461797999e-17,-1.2357248637740602e-17,4.368168130623093e-17,4.465037001647252e-18,5.778644628868021e-17,-2.168349277774221e-17
True,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,0.6456781640748863,0.1984304072839405,0.13050294787851477,-0.1332596496546632,0.003350883485116358,-0.07329687643689739,0.02631617444947763,0.05302421295204492,0.006939708824857573,2.4386885058745338e-17,2.887644461797999e-17,-1.2357248637740602e-17,4.368168130623093e-17,4.465037001647252e-18,5.778644628868021e-17,-2.168349277774221e-17
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.03,-0.03,0.55,False,True,False,False,False,False,False,False,False,0.6456781640748863,0.1984304072839405,0.13050294787851477,-0.1332596496546632,0.003350883485116358,-0.07329687643689739,0.02631617444947763,0.05302421295204492,0.006939708824857573,2.4386885058745338e-17,2.887644461797999e-17,-1.2357248637740602e-17,4.368168130623093e-17,4.465037001647252e-18,5.778644628868021e-17,-2.168349277774221e-17
True,0.04,0.04,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
