@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute L {True, False}
@attribute last {True, False}
@attribute drunk {True, False}
@attribute i {True, False}
@attribute am {True, False}
@attribute im {True, False}
@attribute night {True, False}
@attribute got {True, False}
@attribute still {True, False}
@attribute was {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute 0 real
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@data
-0.13,0.67,0.125,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,1.9434601965761231,1.2904855074825563,-0.009581492593977094,-0.01593546521346165,-0.3387337715770095,0.45599965135385373,-0.15452316930095,0.3055814865424414
-0.09,0.57,0.094444444,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,1.9464835852122253,1.057715680301646,-0.06286230089641112,0.5751861846610283,0.5576592126338785,-0.5642268315592776,-0.3839898745759292,0.2779004896906802
-0.5,1.0,0.5,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,2.1656800194614654,0.7543997629526562,0.11898413659025404,-0.0852169144939662,-0.4471374301195331,-0.3991081772441769,0.5908529245302451,0.8806020222193466
-0.15,0.65,0.15,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,1.9383692666644685,1.2315418499875368,0.216884780203598,-0.16614317166378523,-0.2513893902963559,-0.5880055703368237,0.3613496950443406,1.2258883827754365
0.19,0.73,0.187946429,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.852122360779845,1.238952799479621,0.05494473344031026,-0.1411004236112339,0.05022327127607599,-0.47913706726263644,-0.08406526139128837,0.024279327590526617
-0.57,0.93,0.566666667,True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,2.2124096576626946,0.9648692060157983,-0.20272265078429233,-0.257463143226459,-0.032741362893513364,-0.6075111719784766,-0.015381847648501664,0.15743937405121328
-0.21,0.77,0.2125,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9478401984842244,1.1700040542329224,0.0001351866896815192,-0.14664652130184788,0.007885993707211521,-0.53096081177354,-0.024072511906728877,0.006270739343540118
-0.08,0.64,0.075,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,2.002645798238562,1.5784251959568483,0.01880732222984747,0.014811964673684314,-0.6543807207566553,0.9462305882060861,-1.009865075528361,0.3185910121441166
0.07,1.0,0.066666667,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9880587741124591,1.17487671337857,-0.000533044530508893,-0.18383300938206967,0.03479413372465847,-0.49089199870163674,-0.05728199378317533,0.006455840651517462
0.0,0.56,0.0,True,True,True,True,False,False,True,True,False,True,False,False,False,True,False,1.8456458755706073,1.3200374248131899,0.10103089966255217,0.1823859217082859,-0.7668253831498998,1.234179376583433,-0.9312351299776297,0.04540317644072036
-0.5,1.0,0.5,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,2.2252509570252412,1.1632001683342506,-0.10796213748198226,-0.17053883774470555,-0.21116107895559427,-0.35054101264537363,-0.35061097722379997,-0.029154670061605
-0.25,0.53,0.25,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,1.8456701283800474,1.1843842877417758,0.10135244548798095,0.07017662682917956,-0.4411315802871781,0.21650504717266328,-0.7705464318931095,-0.25902557388844427
-0.25,0.53,0.25,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,1.9319999445923743,1.4829232862539437,0.05220933558601537,-0.08140810720904444,-0.31342044858628165,-0.05335287375135287,-0.8767422216611033,0.027341293273962026
