sentiment_polarity,sentiment_subjectivity,absPolarity,L,pregnant,day,caus,im,still,didnt,sinc,pregnantim,getpregnant,thinkim,monthpregnant,feellike,0,1,2,3,4,5
-0.16,0.6,0.16,True,True,False,True,True,False,False,False,True,False,False,False,False,2.0370976455193417,-0.38476177215557916,0.042416613427717284,0.020489010205255485,-0.3134581423337084,0.17007874124765915
0.13,0.22,0.13,True,False,True,False,False,False,False,False,False,False,False,False,False,0.5239074001710186,-0.18346647035151156,0.881156204553192,0.2933485318801008,0.09267629698743515,0.08635189041991564
0.02,0.93,0.02,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6942575251159137,0.017444137955840256,0.8522216224104521,0.21211085354079523,0.055267141925123164,0.5836542655096405
0.22,0.47,0.22,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6161396261788447,-0.059016081928238116,0.8578290927796262,0.19923756169018048,0.2463867292541952,0.23432519818891362
0.07,0.73,0.07,True,False,False,False,True,False,False,False,False,False,False,False,False,1.087898471128254,-0.45969341519643375,0.5240562146507904,0.14749969265038682,0.1950591825285996,0.5576937082241707
-0.29,0.54,0.29,True,False,False,False,False,False,False,False,False,False,False,False,False,0.5773421650091592,-0.11606727531942207,0.8096107212378795,0.27058602499128415,-0.04324671571353128,0.43719485806050007
0.29,0.42,0.29,True,True,False,False,False,False,True,False,False,False,False,False,False,1.1915375154282288,0.5342395381415461,0.8252571844915706,0.13443180244742345,-0.06073978642665254,-0.17858863069025202
0.33,0.5,0.33,True,True,False,False,True,False,False,False,True,False,False,False,False,2.086084899284187,-0.2800352587449997,0.09936183005633434,-0.06390058071403454,0.06585451181661507,-0.04536686876370715
0.33,0.5,0.33,True,True,False,False,False,True,False,False,False,False,False,False,False,1.2396790205812305,0.5812877789877448,0.8503143546264038,0.16043659468757582,-0.17999966597768494,-0.03964764295573577
-0.03,0.65,0.03,True,True,False,False,False,False,False,False,False,False,False,False,False,1.1614931593889903,0.4726227081505855,0.7315116856239083,0.20459966047773595,-0.42091050363801463,0.005984995544204919
0.12,0.29,0.12,True,True,True,False,False,True,False,False,False,False,False,False,False,1.1233455152411622,0.4230308431939748,0.8514872655242844,0.29583289586162637,-0.46520813288244217,-0.13895172080278517
0.33,0.5,0.33,True,True,False,False,True,False,False,False,True,False,False,False,False,2.086084899284187,-0.2800352587449997,0.09936183005633434,-0.06390058071403452,0.06585451181661507,-0.045366868763707116
0.42,0.5,0.42,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2421792466845887,0.5869430731939266,0.8090142084898961,0.0620212320686807,0.04361785216611356,-0.1831675841521571
0.36,0.44,0.36,True,True,False,False,True,False,False,False,True,False,False,False,False,2.0770737744785857,-0.28846554548308384,0.10091950767903082,-0.06711145670715156,0.09516413017091185,-0.09162913608963619
0.33,0.5,0.33,True,True,False,False,True,False,False,True,True,False,False,False,False,2.1056591217071756,-0.2809399267674117,0.12799483116321794,-0.03217828200167123,0.14435477711509345,-0.11333530355646222
0.0,0.0,0.0,True,True,False,False,True,False,False,False,True,False,False,False,False,1.8363617565288457,-0.5789627316985028,-0.010128868025741023,0.13638165187791002,-0.339256745161349,-0.3274849965927377
0.33,0.5,0.33,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2150814204022096,0.5514590085176297,0.7900100342753977,0.0972515043585304,-0.057144607995506046,-0.1671226376179605
-0.03,0.55,0.03,True,True,False,False,True,False,False,False,True,False,False,False,False,2.0024237489936443,-0.39263540627346016,0.03290173621239556,0.057668488911003526,-0.30504116443629864,0.059550844707574664
0.04,0.5,0.04,True,True,False,False,False,False,False,False,False,False,False,False,False,1.1277662023812112,0.437121466782896,0.7287743618064577,0.21077127062582374,-0.38182364629405824,-0.11542225434110474
0.33,0.5,0.33,True,True,False,False,False,False,False,False,False,False,False,False,False,1.2150814204022096,0.5514590085176297,0.7900100342753977,0.0972515043585304,-0.057144607995506046,-0.1671226376179605
-0.17,0.8,0.17,True,True,False,False,False,True,False,False,False,False,False,True,False,1.2588773270898557,0.6246419845602542,0.8334048965439182,0.23635358093575437,-0.799872956085852,0.6794344364875436
0.25,0.56,0.25,True,True,False,False,False,False,False,False,False,False,False,False,True,1.2274265506929534,0.5555222669090562,0.7222105721695329,0.17268444742514807,-0.18879508946929086,-0.15236209483409316
-0.09,0.65,0.09,True,True,False,False,True,False,False,False,True,True,False,False,True,2.114854330181447,-0.11718436047702394,-0.342096193923145,0.9623925731945081,-0.08887987206286335,0.20238124990609127
