L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-5613.787253739719,-62248.61129633452
True,0.161111111,0.16,0.28,-165254.1876377462,-48450.172646465
True,0.47916666700000005,0.48,0.88,-209091.90880044753,83330.64014727052
True,0.333333333,0.33,0.5,-5523.753365661475,-62383.079490116
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.41666666700000005,0.42,0.5,0.0,0.0
True,0.26666666699999997,0.27,0.35,-50874.967195958605,-68845.94158021657
True,0.589583333,0.59,0.6,-13745.472239606439,-120983.3702377628
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.011111111000000002,0.01,0.63,0.0,0.0
True,0.010416667,0.01,0.59,-166637.96780966863,-116609.58395021589
True,0.46666666700000003,0.47,0.7,-294687.53016540245,133427.75154394982
True,0.066666667,0.07,0.65,-123344.4345067057,-37229.9409434769
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-193594.95042079076,61534.21229500578
True,0.36666666700000006,0.37,0.45,-202431.29393215518,-66389.07551319519
True,0.166666667,0.17,0.25,-49747.282353724084,-70416.57949299665
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-110237.12299248257,14500.595956474684
True,0.333333333,0.33,0.5,0.0,0.0
True,0.051282050999999995,0.05,0.48,-94902.35152635102,-6927.099632231195
True,0.41666666700000005,0.42,0.5,-200082.50757591322,70661.17183076747
True,0.333333333,0.33,0.5,-332326.5927699323,45881.818874961915
True,0.222222222,0.22,0.39,-122551.25130223794,-38235.38856633125
True,0.07777777799999999,0.08,0.6,-34746.329949911255,-91475.20607824044
True,0.321969697,0.32,0.52,-121419.27949741142,-39947.94374391049
True,0.333333333,0.33,0.5,-200848.74109764,1564.252112445305
True,0.215277778,0.22,0.5,-21791.795771863686,-109674.25289880804
True,0.23968254,0.24,0.46,-44222.9836921233,-218432.7164544111
True,0.022222222000000003,-0.02,0.37,-144286.92252086053,-218117.3547409904
True,0.30952381,0.31,0.52,-238596.41946776997,-85655.05838597719
True,0.813802083,0.81,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-139587.02268646017,-14321.530032323579
True,0.135416667,0.14,0.28,-60697.45748765071,-125187.81617335921
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.333333333,0.33,0.5,-174651.3343309199,34931.092981573645
True,0.1,0.1,0.67,-117360.62215081387,24602.365840252016
True,0.333333333,0.33,0.5,-31088.56466313329,-96613.67783961621
True,0.066666667,0.07,0.65,-199865.65171027096,70380.8134854207
True,0.333333333,0.33,0.5,0.0,0.0
True,0.083333333,-0.08,0.4,-211434.62671191647,16424.240756160172
True,0.333333333,0.33,0.5,-32014.15191898865,-25201.516271955446
True,0.12222222199999999,-0.12,0.73,-83138.38676864919,-233959.6783608423
True,0.0,0.0,0.0,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.21111111100000002,0.21,0.73,-106706.36699835138,9644.927952609534
True,0.47916666700000005,0.48,0.5,-59111.32304749194,-127399.21420910466
True,0.5166666670000001,0.52,0.55,-125306.4615592059,-34356.121205379386
True,0.208333333,0.21,0.75,-87176.21249454563,-17829.482299123345
True,0.333333333,0.33,0.5,-13107.311514223115,-51730.536899951585
True,0.016666667,0.02,0.45,-88950.58167396719,54829.148829619284
True,0.577777778,0.58,0.7,0.0,0.0
True,0.495659722,0.5,0.71,-128464.01918850772,-170281.10337852032
True,0.41666666700000005,0.42,0.5,0.0,0.0
True,0.055555556,-0.06,0.5,-276617.533744295,-172517.74799338976
