@relation whatever-weka.filters.supervised.instance.Resample-B0.0-S1-Z20.0

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute L {True,False}

@data
0.498983,0.198931,0.05072,-0.238332,0.134318,0.098951,0.062502,-0.00182,0.00781,-0.463492,0.153691,-0.163506,0.043268,-0.523328,0.020782,0.508849,0.090811,-0.422544,0.305021,-0.11947,-0.283633,-0.478102,-0.157873,0.541717,-0.160517,0.154253,0.222101,-0.179858,0.028896,0.036424,0.165272,0.043274,-0.014901,-0.211701,-0.193441,-0.147378,-0.118395,0.10523,-0.366245,0.054293,0.265521,-0.397584,0.226462,0.23828,0.267953,0.076219,0.117792,0.31764,-0.587613,0.009698,0.170424,-0.219903,-0.272436,0.063822,0.180352,True
0.777386,-0.077193,-0.467682,0.201947,-0.408615,0.260104,-0.280583,-0.181895,-0.176914,0.089009,-0.000766,0.019397,0.139036,0.033133,-0.069123,-0.012231,-0.000778,0.05175,-0.028322,0.036621,0.007271,-0.08271,-0.016974,-0.016493,-0.128802,0.105935,0.029867,0.089145,-0.015731,-0.001504,0.040349,0.001908,0.037418,-0.041876,0.016115,0.021665,0.01198,0.003776,0.025315,0.022819,0.006686,-0.083336,-0.077958,0.068945,-0.046024,0.00544,0.042607,0.022088,0.061835,0.096146,-0.000981,0.054584,-0.012634,0.057368,0.030563,True
-0.047734,0.138817,-0.782239,0.200723,-0.376094,0.130571,-0.477339,-0.313994,0.216604,0.212222,0.144168,0.313627,0.035904,0.697724,-0.010848,0.595741,-0.442235,-0.205831,0.122366,-0.456082,-0.117957,-0.056637,0.143974,-0.151751,-0.223053,-0.016289,-0.036064,0.234709,-0.03566,0.442317,0.435632,-0.077952,0.067286,0.193167,-0.145015,0.090804,0.072168,-0.134719,0.054267,-0.122393,0.144476,-0.073081,0.060929,0.032997,0.024921,0.029993,-0.055926,0.076809,0.075151,-0.158482,0.24768,-0.035226,-0.042127,-0.054796,-0.277246,True
0.398706,-0.018394,-0.036027,0.761228,0.253664,-0.384866,0.174825,0.617848,0.144561,-0.795121,0.440262,-0.668985,0.104675,0.0132,-0.373458,0.453642,0.043791,-0.016184,0.124662,0.233031,0.36823,0.094325,-0.048457,0.096513,0.167153,0.523151,0.007595,0.029402,-0.277654,-0.50152,0.150895,0.018749,-0.064723,0.100725,-0.063124,0.216806,-0.005456,0.119095,-0.14401,-0.196756,0.252843,-0.041548,0.080046,-0.064468,0.030647,0.240289,-0.159434,-0.18177,-0.065421,0.117379,-0.161606,-0.034656,0.017141,0.006552,-0.095218,True
-0.174863,0.494311,-0.488246,-0.178593,-0.120746,-0.206638,0.262936,0.47284,0.99037,-0.005538,0.481925,0.24094,0.161005,-0.495374,0.408625,0.117533,-0.007234,0.328385,-0.565883,-0.387709,0.246411,0.397623,0.088503,0.081885,0.243759,0.153466,0.059281,-0.105639,0.218253,-0.085621,-0.143851,-0.104347,0.003748,-0.035277,0.303397,-0.018047,0.032241,0.078562,-0.195556,-0.014149,-0.075809,0.330481,-0.422498,0.089528,-0.071757,0.037201,-0.266155,0.139418,0.115752,0.262661,0.173939,0.018551,0.081096,-0.106884,0.087236,True
-0.383722,-0.173188,0.043126,0.491817,0.624311,0.192245,-0.433114,1.070185,0.756939,0.264302,0.488197,0.17481,-0.319404,-0.079508,0.032206,0.398606,-0.61972,0.442339,-0.326561,0.100888,0.287146,0.479779,-0.047632,-0.299665,-0.663265,-0.230638,-0.257443,-0.269379,-0.110059,-0.034833,0.013029,-0.284308,0.369787,-0.184496,-0.180233,0.264819,0.127304,-0.338519,-0.268035,0.021308,0.252294,0.089069,0.116533,-0.1182,-0.175115,0.305652,0.049898,0.154977,0.03157,-0.129038,-0.018805,0.218591,0.046412,0.01751,-0.170416,True
-1.601189,-0.461061,-0.487435,0.694846,-0.299272,-0.598776,-0.089462,-0.70934,-0.94348,0.387062,0.571173,-0.145159,-0.151446,0.309955,0.306324,-0.044699,-0.369814,0.193033,-0.169072,-0.085898,-0.543614,0.072023,-0.596258,0.377684,0.109531,0.042938,0.081768,0.34236,-0.302095,0.035552,-0.080631,0.694786,-0.052058,-0.045699,-0.106812,-0.157388,0.036389,0.033412,0.113748,-0.194998,-0.131465,-0.154932,-0.09718,0.240015,-0.083855,0.10972,0.001225,-0.13726,-0.07676,-0.004657,-0.040607,0.108589,-0.061974,0.226412,0.198028,True
0.041557,0.188859,0.850728,0.182189,-0.468412,-0.182096,0.528163,-0.427983,-0.334732,0.421219,0.264289,0.562744,0.207159,0.112051,-0.274165,0.144198,0.222452,0.149933,0.486601,-0.386789,-0.082432,0.10757,-0.220288,0.084654,0.267107,-0.038963,-0.504244,-0.167377,-0.131372,0.03028,-0.199333,0.749113,-0.096725,-0.21814,-0.107452,-0.101419,0.014759,0.028529,-0.143728,-0.197106,-0.034253,-0.114162,0.09573,0.017174,-0.059026,0.078306,0.137068,0.113658,0.056235,0.014488,0.111606,-0.122158,0.122145,0.029217,0.15514,True
-0.952627,-0.231314,-0.45437,-0.584657,0.244864,-0.800715,0.536107,0.178882,0.032941,-1.015706,0.375949,-0.298507,1.093064,-0.305091,-0.63439,0.312184,-0.366647,0.273623,0.541448,0.258586,0.09769,0.497381,0.040112,-0.517223,-0.317372,-0.231506,0.213586,-0.033971,-0.725109,-0.755035,-0.224014,-0.065181,0.13424,0.326329,0.305864,0.018515,0.429475,-0.087592,-0.339864,-0.228485,0.011165,-0.450043,0.443945,0.179966,-0.217812,0.163371,-0.061945,0.087019,0.117196,-0.431857,-0.165993,-0.334517,-0.255175,-0.109054,0.287582,True
0.608757,0.404685,-0.183556,0.071282,-0.052342,0.117817,0.424055,0.074312,0.013163,0.358211,-0.515413,-0.211078,-0.268857,-0.037917,-0.252689,-0.009729,-0.05077,-0.201602,-0.034533,0.196121,0.042306,-0.01284,-0.0458,-0.043838,0.024417,0.16556,-0.009266,-0.042638,0.059711,-0.022758,0.001307,-0.052554,-0.006096,0.09966,-0.138618,0.035052,0.076338,-0.087962,0.033112,-0.010067,-0.047866,-0.068599,0.00879,0.129908,-0.103719,-0.014332,0.042895,0.042043,-0.023209,-0.007994,-0.001258,0.002047,-0.029513,0.012846,0.062409,True
-0.259352,0.351471,-0.048733,-0.174247,-0.34194,-0.320051,0.236833,0.510338,0.930441,-0.295385,0.251366,0.159064,0.149712,0.233003,0.085675,-0.593992,-0.154259,0.463979,-0.048406,0.053847,0.340597,-0.576517,0.015846,0.223002,-0.400114,-0.072855,0.366995,-0.471767,-0.132554,-0.01304,0.131829,-0.219549,-0.024838,0.077425,-0.291028,-0.493937,-0.923,0.417617,0.399297,-0.418733,0.255685,-0.193843,0.24106,0.206184,0.154675,-0.048451,-0.147953,0.111055,-0.190488,0.046816,0.115172,-0.044432,-0.252438,0.31702,0.084701,True
0.515156,-0.163843,-0.431126,-0.290723,0.070639,-0.577187,0.276686,0.861257,-0.176556,0.194884,0.09011,0.078383,0.176445,-0.119622,0.36918,0.251626,-0.28572,0.448459,-0.244507,-0.033236,0.530895,0.155004,-0.116477,0.129232,0.132794,0.117172,-0.054825,0.003839,0.236158,-0.065966,-0.204326,0.029852,0.13617,-0.037306,0.164224,-0.096747,0.052154,-0.107295,-0.049954,-0.100967,0.014713,0.128529,0.179409,-0.230659,-0.105674,-0.088695,-0.036656,-0.096017,-0.094488,-0.093573,0.010752,-0.016527,0.002278,-0.027932,0.059296,True
-0.551702,0.669188,-0.554294,-0.084882,-0.132239,0.054316,0.13411,-0.079857,0.114093,0.262058,-0.348849,-0.432002,-0.138089,-0.23769,-0.371216,-0.045148,-0.168322,-0.192537,0.321837,0.501634,-0.019392,-0.14952,0.443475,-0.590629,0.185948,0.106875,0.195097,-0.450458,0.012212,0.313701,-0.478646,0.08644,-0.363987,0.245599,0.047957,0.256815,-0.107219,-0.155198,0.203453,0.323739,-0.12404,0.198337,-0.113556,0.001028,0.063476,-0.176834,0.111626,0.344565,-0.036827,-0.044252,-0.174734,-0.019684,0.098389,0.152743,0.003814,True
-0.860456,0.65671,-0.508614,0.862293,0.400084,-0.023086,-0.279899,0.052177,-0.316743,-0.39958,-0.301171,-0.064042,0.011714,-0.157683,0.089712,-0.369693,-0.011709,0.440287,0.120851,-0.0297,-0.162768,-0.261278,-0.032976,0.024971,-0.216664,-0.124317,-0.043001,0.080763,0.180586,-0.394559,-0.105849,-0.03679,-0.084561,0.348321,-0.04897,0.035594,0.39325,-0.186562,-0.2235,0.004292,0.008214,-0.20526,-0.004207,0.133712,-0.009294,-0.111517,0.056232,0.048462,0.013722,0.056689,-0.073611,0.069898,-0.033704,0.101454,-0.023357,True
-0.401027,0.618518,-0.374655,0.005618,-0.145069,0.224013,0.828561,-0.513638,0.253777,0.762986,0.366909,0.144368,-0.70633,0.357216,-0.330675,0.304517,-0.03489,0.081427,0.726256,-0.157104,0.044036,-0.016884,-0.140167,0.186284,0.242466,0.104544,-0.134884,-0.01672,0.016592,-0.033972,0.06353,-0.146512,0.018049,0.043211,-0.064159,-0.263335,-0.121439,-0.182263,0.146453,-0.062051,-0.164866,-0.058153,0.030255,0.000337,-0.193449,0.093185,0.175499,-0.027254,-0.134307,-0.102395,0.004046,-0.216426,0.0555,0.025461,-0.051883,True
-1.601189,-0.461061,-0.487435,0.694846,-0.299272,-0.598776,-0.089462,-0.70934,-0.94348,0.387062,0.571173,-0.145159,-0.151446,0.309955,0.306324,-0.044699,-0.369814,0.193033,-0.169072,-0.085898,-0.543614,0.072023,-0.596258,0.377684,0.109531,0.042938,0.081768,0.34236,-0.302095,0.035552,-0.080631,0.694786,-0.052058,-0.045699,-0.106812,-0.157388,0.036389,0.033412,0.113748,-0.194998,-0.131465,-0.154932,-0.09718,0.240015,-0.083855,0.10972,0.001225,-0.13726,-0.07676,-0.004657,-0.040607,0.108589,-0.061974,0.226412,0.198028,True
-0.368695,0.356041,0.366193,0.010869,-0.583146,-0.865836,0.317166,0.336025,-0.037145,0.556336,-0.249484,-0.688607,-0.179605,0.03528,-0.582067,0.445341,0.723274,-0.076721,-0.418932,0.861468,0.33605,0.290624,0.577027,-0.225628,-0.686677,-0.477921,-0.272188,0.187187,-0.191187,0.471402,-0.554279,0.01595,0.164499,-0.158339,0.269094,0.010723,0.212669,0.277473,-0.138808,0.459989,0.200685,-0.307087,-0.030792,0.198019,-0.350294,-0.321194,-0.004497,-0.036328,-0.08513,0.324717,-0.340375,0.380931,-0.353706,-0.01691,0.210698,True
-1.177203,0.651682,0.024879,-0.48616,0.123156,0.843516,-0.143319,-0.206318,0.042256,-0.675999,-0.082942,-0.389871,0.007365,-0.126788,0.158126,-0.498301,0.265595,0.911634,-0.630525,-0.553488,-0.292945,0.031874,0.067029,-0.034544,-0.220505,-0.17922,-0.101842,-0.082985,0.251859,-0.370093,0.112029,0.261354,0.22161,0.707635,-0.22277,-0.05267,0.153937,-0.111455,0.429671,0.299762,-0.035544,0.039283,-0.006175,0.182496,0.248997,-0.2323,0.093711,-0.010659,0.055656,-0.13267,0.26984,-0.076362,-0.483886,-0.091217,0.080925,True
0.370171,-0.643814,-0.279835,0.760914,0.05899,0.35581,-0.074671,0.054465,0.071838,0.225012,0.331406,0.000884,0.340789,-0.536268,1.119301,0.437901,0.317912,-0.202727,0.017221,0.249003,-0.29884,-0.40051,0.066243,0.066811,0.303659,-0.156277,0.120238,-0.074032,0.317337,-0.246035,0.163538,-0.104976,0.447406,-0.248679,0.090305,-0.085322,-0.075572,-0.136296,0.022037,-0.038573,0.117891,-0.047385,0.113984,-0.0599,-0.085673,-0.141864,0.058907,-0.081885,0.046882,0.036709,0.236237,0.000726,-0.126894,-0.185128,0.113237,True
0.305202,-0.456108,-0.272537,0.427398,0.485468,-0.683161,0.549995,0.693226,-0.133638,-0.397252,0.250888,-0.094215,-0.037831,0.286414,0.04771,-0.129467,-0.096291,0.240647,-0.188423,0.068674,0.050266,0.047614,-0.265272,0.124237,-0.087989,0.061791,0.05041,0.036105,0.073124,0.092257,-0.060089,-0.096895,0.166146,-0.203421,0.066507,0.015534,0.036343,0.106798,-0.063094,0.188256,-0.379891,0.320999,0.190617,0.154665,0.368278,-0.219337,0.388988,-0.202549,0.09585,-0.009005,-0.287538,0.258541,0.151673,-0.477528,0.111759,True
-1.507348,-0.999468,-0.058643,0.364111,0.066807,-0.908588,-0.965538,-0.33891,0.034664,0.178233,-0.291279,-0.16336,0.194279,0.118002,0.204251,-0.642183,-0.291249,0.125534,0.075259,-0.295443,-0.02031,-0.755571,0.057547,0.021793,-0.17411,0.532357,-0.000384,0.164755,-0.16563,0.179683,0.257751,-0.10712,0.206975,-0.213157,-0.145015,0.178924,-0.267835,-0.058379,0.067002,0.08111,-0.010296,-0.011445,0.080976,-0.069182,-0.555845,-0.767379,0.012606,0.513895,0.286307,-0.447773,-0.035837,0.068502,0.083939,0.170417,0.014777,True
-0.252511,0.172535,-0.751349,0.067913,-0.213715,0.312661,0.035008,-0.906266,0.199441,0.312494,0.908894,0.503346,-0.211598,0.172611,-0.206694,0.301241,-0.01175,0.263393,-0.47471,-0.32429,-0.3425,0.077053,0.209538,-0.003769,0.380971,0.452921,0.348069,0.260953,-0.17636,0.226649,0.006592,-0.086596,-0.030683,0.172993,-0.088559,-0.596477,-0.020615,-0.146473,-0.056127,-0.063351,0.118829,-0.234347,-0.129231,-0.079534,0.083604,0.09598,0.213883,-0.11411,0.020892,0.104448,0.085159,-0.054605,0.066838,0.050631,-0.077849,True
0.373492,0.120104,0.566437,-0.070503,-0.606428,-0.136853,0.494973,-0.015683,0.045114,-0.024544,-0.85907,-0.342078,-0.634529,-0.158487,0.160575,0.5321,0.033954,0.069065,-0.029485,0.197171,-0.805655,-0.03935,0.039674,0.176143,-0.072388,0.174647,0.173303,-0.104804,0.086444,0.019364,0.200031,-0.068578,0.063286,-0.143329,-0.193098,0.078122,0.250283,-0.090095,0.026871,0.348931,-0.306287,0.17487,0.266533,-0.080236,0.119771,-0.114395,0.483315,0.050031,0.10244,0.215924,0.059898,0.133616,-0.069195,-0.198312,-0.002699,True
-0.257433,0.25912,-0.568005,0.825363,0.075202,-0.185563,0.703684,0.635534,0.831652,-0.086437,-0.238414,-0.214576,-0.338638,0.240122,-0.218406,0.111449,-0.263934,0.067724,-0.102764,0.358649,-0.083005,0.140882,-0.169684,0.104445,-0.053404,0.069111,0.07077,-0.148274,0.104107,0.0385,-0.042995,-0.221745,-0.022694,-0.058169,0.132059,-0.055906,0.180296,0.07037,-0.3157,0.300865,-0.430481,0.513822,-0.189928,0.034789,0.094218,-0.052323,0.098099,0.167297,0.16345,0.438706,0.157831,0.211455,0.146124,-0.186832,-0.017608,True
0.52806,0.371236,-0.095498,-0.020051,-0.014632,0.110813,0.551653,-0.089937,0.094752,0.357243,-0.356959,-0.267495,-0.159657,-0.01714,-0.108407,-0.136342,-0.011023,-0.285261,-0.021086,0.186944,0.034206,-0.016645,-0.063167,-0.006005,0.02216,0.184721,-0.033053,-0.07287,0.07664,-0.001421,-0.017556,-0.085276,0.019131,0.088359,-0.172954,0.0238,0.064699,-0.072208,0.005161,-0.003427,-0.03792,-0.075558,-0.007425,0.113336,-0.123678,-0.024132,0.057509,0.045979,-0.007599,-0.047876,0.034944,-0.01793,-0.039854,-0.031759,0.108918,True
-0.245649,0.428634,-0.169982,-0.136387,0.054436,0.036744,0.203388,-0.419823,0.410276,0.18363,0.472121,0.333303,-0.16854,0.040501,0.193391,-0.142026,-0.190804,-0.303451,-0.036027,0.38371,-0.184211,0.073031,0.10245,0.477646,-0.001052,-0.2552,-0.840169,0.316187,-0.235404,0.150332,0.201028,0.674413,-0.505796,0.189764,0.669168,-0.428808,0.121024,0.051682,0.21494,-0.266073,0.251365,0.288592,0.371497,-0.187584,-0.137251,0.165419,0.112337,-0.243652,-0.104398,-0.170746,0.154515,-0.252769,-0.024784,0.156965,0.000358,True
-0.576853,-0.270525,0.632888,-0.50121,-0.3374,-0.248001,-0.096743,0.40915,-1.085402,0.320586,0.023423,-0.28348,-0.048198,0.062258,0.048453,-0.444064,-0.008857,-0.017091,-0.497393,-0.150881,-0.221834,-0.204067,-0.541623,-0.245161,-0.118511,-0.164199,0.185278,0.103238,0.388064,-0.044724,-0.210643,-0.407535,-0.808995,-0.026039,-0.445734,-0.116454,-0.76548,0.460423,0.08794,-0.178176,0.252311,0.282376,0.359721,-0.147459,-0.293885,0.114382,-0.171755,0.115064,0.202814,0.088145,-0.122676,0.444965,-0.030558,0.169213,0.108793,True
-0.560729,-0.811018,-0.773884,-0.491173,-0.371139,0.739808,-0.103001,0.535598,0.062567,0.333817,0.270508,0.581602,-0.112477,-0.648516,-0.053531,0.099411,0.402899,0.623342,-0.055222,-0.651685,0.249893,0.165031,0.203203,0.092665,0.027689,-0.268583,-0.634166,0.678658,0.134337,-0.268542,-0.24981,-0.323374,-0.243786,0.580386,0.058362,0.157026,0.129554,-0.130407,-0.029303,-0.137388,-0.132068,-0.102112,-0.084802,-0.030237,0.051347,-0.13725,0.382457,-0.079021,0.028509,0.04055,0.025691,-0.049991,0.033056,-0.076889,0.004562,True
0.334986,0.109206,0.555488,-0.212805,0.718934,-0.08809,-0.127928,-0.509015,0.134844,0.30433,-0.243273,0.467847,0.304515,0.185198,-0.431636,0.363457,0.379602,0.075449,-0.1253,0.266212,0.307989,0.378301,-0.147891,-0.145882,-0.551057,-0.354934,0.026448,-0.248984,-0.522579,-0.095219,-0.274432,-0.115938,0.459993,-0.401936,0.129581,0.053895,0.126054,0.384491,-0.292769,0.165476,0.253059,-0.139928,0.001513,0.057682,-0.329664,-0.167316,-0.097173,0.034212,0.226696,0.120331,-0.11687,-0.087521,-0.170185,0.049856,0.041393,True
0.171713,-0.991652,0.025721,-0.204686,-0.847433,-0.530322,0.065869,-0.165076,-0.459361,0.089159,-0.037062,0.255484,0.10561,-0.022332,-0.013577,-0.484431,-0.188582,-0.022613,-0.167362,-0.071325,0.191201,-0.483301,0.093852,0.300597,0.161487,-0.086098,0.071862,0.050422,-0.469267,0.094682,0.377658,-0.183437,-0.066095,-0.287724,-0.287522,-0.073608,0.120279,-0.27193,0.121675,0.38329,0.022521,-0.082337,-0.122351,0.000661,0.150944,-0.031611,-0.238568,-0.021899,0.099454,0.188524,0.017756,-0.269936,-0.099059,-0.045569,0.016279,True
-1.064607,0.390937,0.162988,-0.104492,0.708211,0.717577,-0.385711,-0.006462,0.024929,0.728061,-1.039393,-0.516602,0.374106,0.086979,-0.905684,-0.31113,-0.454681,0.531143,-0.108972,0.175631,-0.160384,0.24615,0.216503,0.384021,0.33135,-0.262937,0.053947,-0.457476,0.246795,-0.128853,0.178981,0.014129,0.217649,-0.135807,0.422737,0.058406,0.468792,0.041283,-0.094042,-0.171675,-0.263415,0.020468,0.358535,-0.182569,0.069791,0.247238,0.101654,-0.095427,-0.209351,-0.084474,0.470979,0.481973,-0.320613,0.5797,0.151686,True
